MSN,Year,Description,Unit,Value
WYTCBUS,2016,Wind Energy Consumption,Trillion Btu,774.498
WDTCBUS,2016,Wood Energy Consumption,Trillion Btu,2226.565
WDPRBUS,2016,Wood Energy Production,Trillion Btu,2299.14
BFTCBUS,2017,Biofuels Consumption,Trillion Btu,2364.384
BFPRBUS,2017,Biofuels Production,Trillion Btu,2406.869
GETCBUS,2017,Geothermal Energy Consumption,Trillion Btu,117.842
HVTCBUS,2017,Hydroelectric Power Consumption,Trillion Btu,1024.7359999999999
SOTCBUS,2017,Solar Energy Consumption,Trillion Btu,328.622
BMTCBUS,2017,Total Biomass Energy Consumption,Trillion Btu,5044.602
BMPRBUS,2017,Total Biomass Energy Production,Trillion Btu,5165.715
RETCBUS,2017,Total Renewable Energy Consumption,Trillion Btu,7383.484
REPRBUS,2017,Total Renewable Energy Production,Trillion Btu,7504.596
WSTCBUS,2017,Waste Energy Consumption,Trillion Btu,495.259
WYTCBUS,2017,Wind Energy Consumption,Trillion Btu,867.682
WDTCBUS,2017,Wood Energy Consumption,Trillion Btu,2184.957
WDPRBUS,2017,Wood Energy Production,Trillion Btu,2263.584
BFTCBUS,2018,Biofuels Consumption,Trillion Btu,2355.168
BFPRBUS,2018,Biofuels Production,Trillion Btu,2470.745
GETCBUS,2018,Geothermal Energy Consumption,Trillion Btu,117.98
HVTCBUS,2018,Hydroelectric Power Consumption,Trillion Btu,998.0930000000001
SOTCBUS,2018,Solar Energy Consumption,Trillion Btu,383.635
BMTCBUS,2018,Total Biomass Energy Consumption,Trillion Btu,5104.512
BMPRBUS,2018,Total Biomass Energy Production,Trillion Btu,5314.147
RETCBUS,2018,Total Renewable Energy Consumption,Trillion Btu,7534.557
REPRBUS,2018,Total Renewable Energy Production,Trillion Btu,7744.197
WSTCBUS,2018,Waste Energy Consumption,Trillion Btu,487.347
WYTCBUS,2018,Wind Energy Consumption,Trillion Btu,930.342
WDTCBUS,2018,Wood Energy Consumption,Trillion Btu,2261.995
WDPRBUS,2018,Wood Energy Production,Trillion Btu,2356.054
BFTCBUS,2019,Biofuels Consumption,Trillion Btu,2376.249
BFPRBUS,2019,Biofuels Production,Trillion Btu,2431.597
GETCBUS,2019,Geothermal Energy Consumption,Trillion Btu,116.29299999999999
HVTCBUS,2019,Hydroelectric Power Consumption,Trillion Btu,982.224
SOTCBUS,2019,Solar Energy Consumption,Trillion Btu,429.745
BMTCBUS,2019,Total Biomass Energy Consumption,Trillion Btu,5056.01
BMPRBUS,2019,Total Biomass Energy Production,Trillion Btu,5215.002
RETCBUS,2019,Total Renewable Energy Consumption,Trillion Btu,7593.826
REPRBUS,2019,Total Renewable Energy Production,Trillion Btu,7752.817
WSTCBUS,2019,Waste Energy Consumption,Trillion Btu,442.445
WYTCBUS,2019,Wind Energy Consumption,Trillion Btu,1009.552
WDTCBUS,2019,Wood Energy Consumption,Trillion Btu,2237.314
WDPRBUS,2019,Wood Energy Production,Trillion Btu,2340.958
BFTCBUS,2020,Biofuels Consumption,Trillion Btu,2135.752
BFPRBUS,2020,Biofuels Production,Trillion Btu,2194.4
GETCBUS,2020,Geothermal Energy Consumption,Trillion Btu,117.718
HVTCBUS,2020,Hydroelectric Power Consumption,Trillion Btu,973.355
SOTCBUS,2020,Solar Energy Consumption,Trillion Btu,511.317
BMTCBUS,2020,Total Biomass Energy Consumption,Trillion Btu,4545.088
BMPRBUS,2020,Total Biomass Energy Production,Trillion Btu,4709.775
RETCBUS,2020,Total Renewable Energy Consumption,Trillion Btu,7300.518
REPRBUS,2020,Total Renewable Energy Production,Trillion Btu,7465.202
WSTCBUS,2020,Waste Energy Consumption,Trillion Btu,439.73199999999997
WYTCBUS,2020,Wind Energy Consumption,Trillion Btu,1153.045
WDTCBUS,2020,Wood Energy Consumption,Trillion Btu,1969.603
WDPRBUS,2020,Wood Energy Production,Trillion Btu,2075.637
