Year of diagnosis,Rural-Urban Continuum Code,Count
2013,Counties in metropolitan areas of lt 250 thousand pop,31178
2013,Nonmetropolitan Counties,48875
2013,Nonmetropolitan counties adjacent to a metropolitan area,28099
2013,Nonmetropolitan counties not adjacent to a metropolitan area,20776
2013,Unknown/missing/no match (Alaska or Hawaii - Entire State),461
2013,Unknown/missing/no match/Not 1990-2021,25
2014,Metropolitan Counties,361741
2014,Counties in metropolitan areas ge 1 million pop,241422
2014,"Counties in metropolitan areas of 250,000 to 1 million pop",88110
2014,Counties in metropolitan areas of lt 250 thousand pop,32209
2014,Nonmetropolitan Counties,50225
2014,Nonmetropolitan counties adjacent to a metropolitan area,28796
2014,Nonmetropolitan counties not adjacent to a metropolitan area,21429
2014,Unknown/missing/no match (Alaska or Hawaii - Entire State),419
2014,Unknown/missing/no match/Not 1990-2021,38
2015,Metropolitan Counties,370516
2015,Counties in metropolitan areas ge 1 million pop,248221
2015,"Counties in metropolitan areas of 250,000 to 1 million pop",89629
2015,Counties in metropolitan areas of lt 250 thousand pop,32666
2015,Nonmetropolitan Counties,51436
2015,Nonmetropolitan counties adjacent to a metropolitan area,29356
2015,Nonmetropolitan counties not adjacent to a metropolitan area,22080
2015,Unknown/missing/no match (Alaska or Hawaii - Entire State),496
2015,Unknown/missing/no match/Not 1990-2021,44
2016,Metropolitan Counties,376345
2016,Counties in metropolitan areas ge 1 million pop,251692
2016,"Counties in metropolitan areas of 250,000 to 1 million pop",91275
2016,Counties in metropolitan areas of lt 250 thousand pop,33378
2016,Nonmetropolitan Counties,51454
2016,Nonmetropolitan counties adjacent to a metropolitan area,29576
2016,Nonmetropolitan counties not adjacent to a metropolitan area,21878
2016,Unknown/missing/no match (Alaska or Hawaii - Entire State),494
2016,Unknown/missing/no match/Not 1990-2021,13
2017,Metropolitan Counties,383231
2017,Counties in metropolitan areas ge 1 million pop,255527
2017,"Counties in metropolitan areas of 250,000 to 1 million pop",93448
2017,Counties in metropolitan areas of lt 250 thousand pop,34256
2017,Nonmetropolitan Counties,51975
2017,Nonmetropolitan counties adjacent to a metropolitan area,29888
2017,Nonmetropolitan counties not adjacent to a metropolitan area,22087
2017,Unknown/missing/no match (Alaska or Hawaii - Entire State),521
2017,Unknown/missing/no match/Not 1990-2021,17
2018,Metropolitan Counties,387324
2018,Counties in metropolitan areas ge 1 million pop,257908
2018,"Counties in metropolitan areas of 250,000 to 1 million pop",94829
2018,Counties in metropolitan areas of lt 250 thousand pop,34587
2018,Nonmetropolitan Counties,52343
2018,Nonmetropolitan counties adjacent to a metropolitan area,30174
2018,Nonmetropolitan counties not adjacent to a metropolitan area,22169
2018,Unknown/missing/no match (Alaska or Hawaii - Entire State),513
2018,Unknown/missing/no match/Not 1990-2021,60
2019,Metropolitan Counties,397417
2019,Counties in metropolitan areas ge 1 million pop,264864
2019,"Counties in metropolitan areas of 250,000 to 1 million pop",97256
2019,Counties in metropolitan areas of lt 250 thousand pop,35297
2019,Nonmetropolitan Counties,54260
2019,Nonmetropolitan counties adjacent to a metropolitan area,31345
2019,Nonmetropolitan counties not adjacent to a metropolitan area,22915
2019,Unknown/missing/no match (Alaska or Hawaii - Entire State),542
2019,Unknown/missing/no match/Not 1990-2021,41
2020,Metropolitan Counties,361998
2020,Counties in metropolitan areas ge 1 million pop,240133
2020,"Counties in metropolitan areas of 250,000 to 1 million pop",89127
2020,Counties in metropolitan areas of lt 250 thousand pop,32738
2020,Nonmetropolitan Counties,49155
2020,Nonmetropolitan counties adjacent to a metropolitan area,28561
2020,Nonmetropolitan counties not adjacent to a metropolitan area,20594
2020,Unknown/missing/no match (Alaska or Hawaii - Entire State),496
2020,Unknown/missing/no match/Not 1990-2021,66
