State,2010 Lung & Bronchus,2010,2011 Lung & Bronchus,2011,2012 Lung & Bronchus,2012,2013 Lung & Bronchus,2013,2014 Lung & Bronchus,2014,2015 Lung & Bronchus,2015,2016 Lung & Bronchus,2016,2017 Lung & Bronchus,2017,2018 Lung & Bronchus,2018,2019 Lung & Bronchus,2019,2020 Lung & Bronchus,2020
Indiana,5430,33020,5520,34050,5460,35060,5500,35550,5540,35560,5510,35620,5520,35180,5540,36440,,,,,,
Iowa,2450,17260,2480,17500,2330,17010,2350,17480,2330,17630,2440,17140,2420,17100,2410,17230,,,,,,
Kansas,1990,13550,1990,14070,1910,14090,1930,14370,1900,14630,1930,14440,1970,14530,1880,14400,,,,,,
Kentucky,4780,24240,4860,25010,4430,25160,4560,25100,4690,25770,4680,26490,4960,25720,4830,26220,,,,,,
Louisiana,3320,20950,3630,22780,3660,23480,3740,24930,3470,24300,3380,24100,3730,25070,3510,24220,,,,,,
Maine,1370,8650,1400,8820,1340,8990,1380,9190,1400,9270,1360,8810,2410,9270,1380,8750,,,,,,
Maryland,4170,27700,3960,28890,4250,31000,4040,30680,3990,30680,3980,30050,4100,30990,4020,331820,,,,,,
Massachusetts,5020,36040,4970,37470,4920,38470,4880,38250,4930,37940,5150,37790,4910,37620,4890,37130,,,,,,
Michigan,8150,55660,8140,57010,8210,57790,8250,57560,8090,58610,8350,57420,8440,56530,8190,57600,,,,,,
Minnesota,3150,25080,3340,27600,3750,28060,3860,28410,3070,29340,3250,29730,3660,29130,3620,30000,,,,,,
Mississippi,2360,14330,2430,14990,2550,15190,2630,15830,2420,15740,2340,16260,2550,16680,2570,17290,,,,,,
Missouri,5360,31160,5470,32740,5370,33440,5410,33950,5370,33890,5380,34680,5450,34270,5620,34400,,,,,,
Montana,740,5570,750,5690,700,5550,700,5450,760,5850,760,5950,750,6070,750,6140,,,,,,
Nebraska,1200,9230,1270,9430,1230,9030,1220,9060,1220,9550,1200,9540,1220,9740,1220,9520,,,,,,
Nevada,1920,12230,1510,12800,1930,13780,1970,13830,2040,14450,1770,13640,1700,14390,1680,13840,,,,,,
New Hampshire,1070,7810,1110,8210,1130,8350,1150,8470,1110,8450,1140,8090,1141,8680,1150,867,,,,,,
New Jersey,6260,48100,6210,49080,5990,50650,5960,49440,6130,51130,5830,51410,5580,49750,5540,51680,,,,,,
New Mexico,920,9210,980,9630,1090,9640,1050,10090,1060,10210,990,9970,1020,9750,1010,10040,,,,,,
New York,13720,103340,14200,107260,13620,109440,13480,108760,13720,107200,13180,107840,13200,110280,12700,107530,,,,,,
North Carolina,7520,45120,7300,48870,7950,51860,8040,53200,7850,52550,7750,50420,7870,54450,7940,56900,,,,,,
North Dakota,410,3300,420,3560,460,3510,460,3510,400,3730,440,3840,480,3930,480,4180,,,,,,
Ohio,10710,64450,10060,65060,10270,66560,10230,66610,9760,67000,10000,65010,10550,66020,10660,68180,,,,,,
Oklahoma,3250,18670,3270,18980,3370,19210,3370,20160,3320,19830,3220,19280,3150,19650,3050,18710,,,,,,
Oregon,2810,20750,2860,21180,2920,21370,2860,21720,2950,22530,2830,22410,2970,22510,2900,21780,,,,,,
Pennsylvania,10520,75260,10900,78030,10890,78340,10980,79560,10290,79920,10540,81540,10500,83560,9930,77710,,,,,,
Rhode Island,840,5970,880,6090,860,6310,870,6280,870,6370,880,6040,890,6190,860,5870,,,,,,
South Carolina,3970,23240,3900,25510,4270,26570,4390,27620,4130,26390,4040,25550,4280,27980,4320,28680,,,,,,
South Dakota,540,4220,580,4430,620,4430,620,4570,540,4490,570,4520,590,4690,590,4920,,,,,,
Tennessee,5980,33070,5870,34750,614,35610,6200,36580,5980,36570,6200,38300,6010,37650,5830,37080,,,,,,
Texas,14030,101120,13380,105000,14810,110470,15000,112230,14890,115730,13650,113630,14620,116690,14560,116200,,,,,,
Utah,620,9970,630,10530,880,10620,800,10810,650,10780,660,11050,890,11030,850,10990,,,,,,
Vermont,490,3720,530,3950,550,4060,590,4200,550,4130,570,4020,510,4050,510,4000,,,,,,
Virginia,5510,36410,5670,38720,5550,41380,5380,40870,5580,40970,5740,41170,5690,43190,5400,42770,,,,,,
Washington,4320,34500,4540,35360,4700,35790,4700,37290,4630,38230,4790,38180,4670,37770,4390,32560,,,,,,
West Virginia,2070,10610,2080,11080,2070,11610,2100,11450,2090,11700,2080,11730,2020,11770,1980,11690,,,,,,
Wisconsin,3990,29610,4020,30530,4220,31920,4310,31590,4020,32480,4370,32700,4230,32970,4280,32990,,,,,,
Wyoming,320,2540,310,2680,330,2650,320,2700,330,2890,320,2860,310,2920,320,2780,,,,,,
United States,222520,1529560,221130,1596670,226160,1638910,228190,1660290,224210,1665540,221200,1658370,224390,1685210,222500,1688780,,,,,,
